"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1672","Verify app reset","","Wed Jun 11 22:08:44 BDT 2025","passed","Wed Jun 11 22:08:45 BDT 2025","","Checkout process suite","",""
"","1104","Verify the overview page's price is correct","","Tue Jun 17 18:14:06 BDT 2025","passed","Tue Jun 17 18:14:07 BDT 2025","","Filtering items and checkout suite","",""
"","1135","Verify user can Reset App after success message","","Wed Jun 11 22:09:04 BDT 2025","passed","Wed Jun 11 22:09:05 BDT 2025","","Filtering items and checkout suite","",""
"","369","Verify user can the first item to cart","","Tue Jun 17 18:14:03 BDT 2025","passed","Tue Jun 17 18:14:03 BDT 2025","","Filtering items and checkout suite","",""
"","412","Verify user can logout","","Wed Jun 11 22:08:51 BDT 2025","passed","Wed Jun 11 22:08:52 BDT 2025","","Checkout process suite","",""
"","6","Verify overview page item names are same as the product page","","Wed Jun 11 22:08:50 BDT 2025","passed","Wed Jun 11 22:08:50 BDT 2025","","Checkout process suite","",""
"","354","Verify user can logout","","Tue Jun 17 18:13:50 BDT 2025","passed","Tue Jun 17 18:13:50 BDT 2025","","Checkout process suite","",""
"","2599","Verify user can fillout form to checkout","","Wed Jun 11 22:09:01 BDT 2025","passed","Wed Jun 11 22:09:04 BDT 2025","","Filtering items and checkout suite","",""
"","1822","Verify user can fillout form to checkout","","Tue Jun 17 18:14:04 BDT 2025","passed","Tue Jun 17 18:14:05 BDT 2025","","Filtering items and checkout suite","",""
"","1936","Verify the total price is correct","","Wed Jun 11 22:08:50 BDT 2025","passed","Wed Jun 11 22:08:52 BDT 2025","","Checkout process suite","",""
"","1804","Verify the overview page's price is correct","","Wed Jun 11 22:09:04 BDT 2025","passed","Wed Jun 11 22:09:05 BDT 2025","","Filtering items and checkout suite","",""
"","342","Verify user can logout","","Wed Jun 11 22:09:05 BDT 2025","passed","Wed Jun 11 22:09:05 BDT 2025","","Filtering items and checkout suite","",""
"","491","Verify user can navigate to cart and checkout","","Tue Jun 17 18:14:03 BDT 2025","passed","Tue Jun 17 18:14:04 BDT 2025","","Filtering items and checkout suite","",""
"","966","Verify user can navigate to cart and checkout","","Wed Jun 11 22:09:00 BDT 2025","passed","Wed Jun 11 22:09:01 BDT 2025","","Filtering items and checkout suite","",""
"","6","Verify the success message after checkout","","Wed Jun 11 22:08:50 BDT 2025","passed","Wed Jun 11 22:08:50 BDT 2025","","Checkout process suite","",""
"","2346","Verify user can add 3 items to cart","","Wed Jun 11 22:08:45 BDT 2025","passed","Wed Jun 11 22:08:48 BDT 2025","","Checkout process suite","",""
"","799","Verify user can Reset App after success message","","Tue Jun 17 18:14:06 BDT 2025","passed","Tue Jun 17 18:14:07 BDT 2025","","Filtering items and checkout suite","",""
"","2071","Verify user can fillout form to checkout","","Wed Jun 11 22:08:48 BDT 2025","passed","Wed Jun 11 22:08:50 BDT 2025","","Checkout process suite","",""
"","1241","Verify user can add 3 items to cart","","Tue Jun 17 18:13:46 BDT 2025","passed","Tue Jun 17 18:13:48 BDT 2025","","Checkout process suite","",""
"","1664","Verify resetting app","","Wed Jun 11 22:08:52 BDT 2025","passed","Wed Jun 11 22:08:54 BDT 2025","","Filtering items and checkout suite","",""
"","4","Verify the error message during login","","Wed Jun 11 22:08:46 BDT 2025","passed","Wed Jun 11 22:08:46 BDT 2025","","Sauce Demo Automation suite","",""
"","1803","Verify user can login","","Wed Jun 11 22:08:42 BDT 2025","passed","Wed Jun 11 22:08:44 BDT 2025","","Checkout process suite","",""
"","603","Verify user can the first item to cart","","Wed Jun 11 22:08:59 BDT 2025","passed","Wed Jun 11 22:09:00 BDT 2025","","Filtering items and checkout suite","",""
"","1881","Verify user cannot login","","Wed Jun 11 22:08:44 BDT 2025","passed","Wed Jun 11 22:08:46 BDT 2025","","Sauce Demo Automation suite","",""
"","5","Verify overview page item name is same as the product page","","Tue Jun 17 18:14:06 BDT 2025","passed","Tue Jun 17 18:14:06 BDT 2025","","Filtering items and checkout suite","",""
"","12","Verify the error message during login","","Tue Jun 17 18:13:44 BDT 2025","passed","Tue Jun 17 18:13:44 BDT 2025","","Login error test suite","",""
"","1289","Verify user can Reset App after success message","","Wed Jun 11 22:08:50 BDT 2025","passed","Wed Jun 11 22:08:52 BDT 2025","","Checkout process suite","",""
"","9370","Verify user can filter product by name (Z to A)","","Tue Jun 17 18:13:57 BDT 2025","passed","Tue Jun 17 18:14:07 BDT 2025","","Filtering items and checkout suite","",""
"","1084","Verify app reset","","Tue Jun 17 18:13:45 BDT 2025","passed","Tue Jun 17 18:13:46 BDT 2025","","Checkout process suite","",""
"","1083","Verify user can login","","Tue Jun 17 18:13:44 BDT 2025","passed","Tue Jun 17 18:13:45 BDT 2025","","Checkout process suite","",""
"","1245","Verify user can fillout form to checkout","","Tue Jun 17 18:13:48 BDT 2025","passed","Tue Jun 17 18:13:49 BDT 2025","","Checkout process suite","",""
"","298","Verify user can logout","","Tue Jun 17 18:14:06 BDT 2025","passed","Tue Jun 17 18:14:07 BDT 2025","","Filtering items and checkout suite","",""
"","6","Verify the success message after checkout","","Tue Jun 17 18:13:49 BDT 2025","passed","Tue Jun 17 18:13:49 BDT 2025","","Checkout process suite","",""
"","1317","Verify the total price is correct","","Tue Jun 17 18:13:49 BDT 2025","passed","Tue Jun 17 18:13:50 BDT 2025","","Checkout process suite","",""
"","7115","Verify user login","","Wed Jun 11 22:08:45 BDT 2025","passed","Wed Jun 11 22:08:52 BDT 2025","","Filtering items and checkout suite","",""
"","4","Verify overview page item names are same as the product page","","Tue Jun 17 18:13:49 BDT 2025","passed","Tue Jun 17 18:13:49 BDT 2025","","Checkout process suite","",""
"","5621","Verify user can filter product by name (Z to A)","","Wed Jun 11 22:08:54 BDT 2025","passed","Wed Jun 11 22:08:59 BDT 2025","","Filtering items and checkout suite","",""
"","1496","Verify user cannot login","","Tue Jun 17 18:13:43 BDT 2025","passed","Tue Jun 17 18:13:44 BDT 2025","","Login error test suite","",""
"","6198","Verify user login","","Tue Jun 17 18:13:50 BDT 2025","passed","Tue Jun 17 18:13:56 BDT 2025","","Filtering items and checkout suite","",""
"","556","Verify user can Reset App after success message","","Tue Jun 17 18:13:49 BDT 2025","passed","Tue Jun 17 18:13:50 BDT 2025","","Checkout process suite","",""
"","10216","Verify resetting app","","Tue Jun 17 18:13:56 BDT 2025","passed","Tue Jun 17 18:14:07 BDT 2025","","Filtering items and checkout suite","",""
"","4","Verify overview page item name is same as the product page","","Wed Jun 11 22:09:04 BDT 2025","passed","Wed Jun 11 22:09:04 BDT 2025","","Filtering items and checkout suite","",""
